,LA_DEFENSE,CHAMPIGNY-SUR-MARNE,Avenue_des_Champs_Elysées,EVRY,GENNEVILLIERS,GONESSE,LOGNES,MANTES-LA-JOLIE,MELUN,MONTGERON,NEUILLY-SUR-SEINE,PARIS_7ème,PARIS_12ème,PARIS_13ème,PARIS_18ème,Zone_rurale_Sud-Est_-_Forêt_de_Fontainebleau,Zone_rurale_Sud-Ouest_-_Forêt_de_Rambouillet,SAINT-DENIS,TREMBLAY-EN-FRANCE,Boulevard_Haussmann,VERSAILLES,VILLEMOMBLE,VITRY-SUR-SEINE,Route_nationale_2_-_PANTIN,Route_Nationale_6_-_MELUN,PARIS_1er_Les_Halles,Paris_stade_Lenglen,Boulevard_Soult,Place_de_l'Opéra,RN20_Montlhéry,Boulevard_Périphérique_Est,ARGENTEUIL,AUBERVILLIERS,Boulevard_Péripherique_Auteuil,Autoroute_A1_-_Saint-Denis,Place_Victor_Basch,BOBIGNY,Rue_Bonaparte,Quai_des_Célestins,Tour_Eiffel_3ème_étage,OBJECTID
,DEF,CHAMP,ELYS,EVRY,GEN,GON,LOGNES,MANT,MELUN,MONTG,NEUIL,PA07,PA12,PA13,PA18,RUR-SE,RUR-SO,STDEN,TREMB,HAUS,VERS,VILLEM,VITRY,RN2,RN6,PA01H,PA15L,SOULT,OPERA,RN20,BP_EST,ARG,AUB,AUT,A1,BASCH,BOB,BONAP,CELES,EIFF3,0
,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,1
,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,3
2019-01-01 01:00:00Z,1.300000,0.800000,17.200000,1.300000,1.200000,0.700000,1.300000,4.900000,,1.600000,8,8.500000,5.600000,0,5,0.200000,2.100000,1,2.600000,24.600000,0.300000,0.400000,1.300000,14.900000,22.500000,,0,6.900000,103.600000,79.700000,7.500000,2.100000,0.700000,218.700000,131.200000,,0.500000,83.400000,48.900000,0.700000,4
2019-01-01 02:00:00Z,0.500000,1,65.100000,0.800000,0.500000,0.500000,1.100000,5.600000,,1.700000,6.300000,5.500000,5.100000,0,5.400000,0.500000,2.500000,0.900000,2.300000,21.700000,0,0.600000,1.400000,17,13.500000,,0.200000,8.300000,54,63.200000,5.300000,2.100000,0.300000,170.800000,111.500000,,0.400000,60.700000,61.100000,0.600000,5
2019-01-01 03:00:00Z,0.700000,1.200000,39.500000,1,0.600000,0.600000,1.500000,7.600000,,1.800000,7,3.600000,4.900000,0,3.300000,0.800000,2.700000,0.800000,2.300000,29.800000,0.200000,1,0.700000,19.400000,14.900000,,0,8.100000,43.600000,73.800000,7.200000,1.900000,0.100000,183.500000,214.300000,,0.600000,103.200000,70.400000,0.900000,6
2019-01-01 04:00:00Z,0.700000,2.200000,31.900000,1,0.700000,0.400000,0.900000,7.900000,,2.400000,11.500000,3.400000,3.700000,0,2.800000,0,1,1.200000,2.800000,31.800000,0.300000,0.800000,1,16.200000,9.600000,,0,4.700000,36,78.600000,4,2.600000,0.200000,175.900000,248,,0.400000,29.700000,38.600000,0.800000,7
2019-01-01 05:00:00Z,1,0.500000,25.800000,1.100000,1,0.700000,0.900000,5.500000,,2.900000,6.500000,2.800000,3.400000,0,3,0.100000,0,0.600000,2.500000,26.200000,0.100000,0.300000,0.600000,14.300000,15.700000,,0,1.100000,31.900000,61.100000,3.300000,8.500000,0.100000,141.800000,237.200000,,0.400000,39,46.400000,0.400000,8
2019-01-01 06:00:00Z,0.900000,1.500000,33.400000,1.100000,1.100000,1,0.600000,5.700000,,2.500000,9.500000,3.300000,3.200000,0,3.400000,0.200000,0,1.100000,2.300000,17.300000,0.300000,0.700000,1.600000,20.200000,11.800000,,0,2.500000,27.300000,64.400000,6.400000,3,0.500000,138.600000,163.400000,,0.600000,11.300000,38.600000,0.500000,9
2019-01-01 07:00:00Z,0.700000,1.700000,17.600000,2.800000,0.900000,0.600000,1.100000,4.200000,,3.400000,4.900000,3.600000,2.900000,0,3.700000,0.100000,0.700000,1.100000,3,4.600000,0.800000,0.600000,2.700000,10.800000,18,,0,0.300000,22.100000,55.600000,2.500000,5.300000,0.100000,85.700000,97.200000,,0.500000,1,25.100000,0.700000,10
2019-01-01 08:00:00Z,0.700000,0.900000,11.900000,1.200000,1.800000,0.700000,0.700000,3.200000,,2.700000,5,2.700000,3.500000,0,3.700000,0.200000,1.500000,1.200000,6.300000,5.100000,0.500000,0.600000,2.800000,7.700000,16.400000,,0,0.200000,23,56.900000,2.100000,1.700000,0.100000,60.500000,96.100000,,0.400000,7.300000,22.500000,0.500000,11
2019-01-01 09:00:00Z,0.500000,1.100000,16.300000,1.400000,1,0.700000,1.600000,4.900000,,2.800000,5.200000,5,3.100000,0,4.700000,0.200000,1,1.200000,4.900000,2.500000,0.400000,1.200000,1.800000,11.100000,13,,0,0.400000,21.500000,57.900000,2,0.900000,0.300000,44.300000,35.300000,,0.700000,1.800000,25.300000,0.600000,12
2019-01-01 10:00:00Z,0.800000,1.100000,25.700000,1.300000,0.900000,0.600000,1.500000,3.400000,,1.900000,4.800000,6.100000,3.500000,0,4.600000,0.100000,3.300000,0.400000,2.400000,3.500000,0.600000,0.900000,1.300000,13.500000,15.600000,,0,1.300000,37.400000,60.200000,4.700000,1.400000,0.200000,48.500000,46.500000,,0.800000,6.500000,17.300000,0.200000,13
2019-01-01 11:00:00Z,0.600000,1.100000,26.500000,0.900000,0.800000,1,1.900000,3.700000,,3.400000,6.200000,6.500000,2.700000,0,3.500000,0.100000,2.500000,0.700000,2.600000,4.400000,0.700000,0.800000,2,12.800000,26,,0,3.100000,35.700000,78.100000,9.600000,1.400000,0.100000,70.100000,49.800000,,0.700000,9.300000,22.200000,1.400000,14
2019-01-01 12:00:00Z,0.800000,1.100000,33.500000,1.200000,1.400000,0.800000,1.700000,4.300000,,2,4.200000,8.100000,3.600000,0,5,0.300000,3.300000,1.200000,2.800000,3.100000,0.300000,0.900000,1.500000,9.500000,28.900000,,0,2.600000,40.100000,76.800000,5.300000,0.900000,0.400000,82.300000,41.700000,,0.700000,3.700000,19.600000,0.500000,15
2019-01-01 13:00:00Z,1.100000,0.900000,54.900000,0.900000,1.300000,1.300000,1.600000,6.900000,,1.600000,4.700000,6.200000,4,0,5.600000,0.200000,2.900000,1.200000,2.900000,5.700000,0.500000,1,1.500000,16.600000,27.100000,,0,3.500000,48,84.500000,4.300000,1,0.500000,84,64.700000,,0.800000,8.100000,26.600000,0.400000,16
2019-01-01 14:00:00Z,1.100000,1.500000,39.300000,1.100000,1.500000,1.100000,2.400000,7.400000,,1.400000,4.900000,7.800000,5.300000,0.200000,4.900000,0.300000,1.500000,2.300000,3.100000,7,0.700000,1,3,14.300000,16,,0.200000,11.100000,54.600000,103.300000,14.400000,2.600000,0.800000,110.100000,88.500000,,1.100000,8.700000,26.900000,1.200000,17
2019-01-01 15:00:00Z,0.800000,2.400000,41.700000,1.300000,1.500000,1,1.800000,6.300000,,2,5,7.700000,5.600000,0.300000,6.500000,0.300000,6.300000,5.100000,3,10.300000,0.800000,1.600000,2.600000,16.700000,27.700000,,0,7.200000,61.300000,117.900000,5.700000,2.200000,0.900000,106.800000,107.700000,,0.700000,11.700000,38.700000,0.800000,18
2019-01-01 16:00:00Z,0.500000,2,41.500000,1.900000,1.500000,0.400000,2.200000,5.300000,,2,5.200000,11.100000,5.900000,0.300000,5.400000,0.300000,4.500000,5.900000,3.800000,11.200000,0.800000,1.400000,2.500000,16.900000,41.400000,,0,5.700000,58.400000,114.500000,7.200000,3.800000,0.500000,131.400000,108.700000,,0.400000,15.200000,46.100000,0.700000,19
2019-01-01 17:00:00Z,0.600000,0.900000,61.300000,2,1.500000,0.600000,2.300000,5.300000,,1.900000,6.600000,6.900000,5.100000,0,5.900000,0.100000,4.700000,4.200000,3.200000,15.200000,1,1,3.200000,15.300000,41.500000,,0.300000,8.900000,39.200000,121.800000,0.900000,2.800000,0.600000,122,105.300000,,0.400000,11.800000,48.500000,1,20
2019-01-01 18:00:00Z,0.400000,3.100000,65,2.100000,2.600000,0.700000,2.300000,7.600000,,2.400000,4.800000,13,7.600000,0.400000,7.700000,0.300000,4.300000,2,5.400000,26,0.900000,1.900000,2.700000,30.100000,35.600000,,0.300000,5.600000,66.100000,136.300000,2,5.400000,1,127.400000,180.700000,,0.500000,16.800000,57.200000,0.700000,21
2019-01-01 19:00:00Z,0.600000,1.600000,53,2.100000,2.200000,0.700000,2.400000,6.200000,,3.200000,4.700000,12.400000,10.300000,0.500000,9.100000,0.200000,1.600000,1.900000,6.500000,19.800000,0.600000,2.900000,3.900000,23.300000,40.100000,,1.300000,4.900000,51.600000,109.900000,1.700000,6.800000,1.100000,143.200000,164.600000,,1.300000,13.100000,51.800000,0.400000,22
2019-01-01 20:00:00Z,0.600000,1.500000,44.100000,2.400000,3.100000,0.900000,2.400000,4.800000,,2.400000,6.500000,8.900000,5.100000,0.400000,8.900000,0.100000,4.400000,1.700000,3.500000,15.300000,0.700000,3.300000,3.300000,24.100000,35.300000,,0.800000,12.900000,51.400000,81.700000,6.700000,4.800000,1.500000,139.800000,127,,2,11.600000,47,0.500000,23
2019-01-01 21:00:00Z,0.600000,1.600000,34.500000,1.900000,1.700000,0.900000,3.100000,4.600000,,2.800000,7.500000,9.800000,6.500000,0.200000,7.800000,0.100000,6.800000,1.200000,3.400000,11.400000,0.500000,2.400000,3.700000,20.800000,25.700000,,0,4.500000,38.400000,83.700000,8.900000,1.700000,1.400000,126.900000,73.700000,,0.800000,11.400000,43.200000,1.300000,24
2019-01-01 22:00:00Z,0.800000,1.500000,30.600000,1.600000,1.400000,0.900000,2.900000,5.100000,,3.100000,5.600000,11.200000,7.400000,0.200000,5.900000,0.300000,5.500000,1,3.300000,6.100000,0.200000,1.100000,1.700000,17.700000,27.300000,,0.100000,3.500000,37,51.700000,7.400000,1.200000,0.500000,106.300000,48.900000,,0.700000,8.900000,27.200000,1,25
2019-01-01 23:00:00Z,1.700000,1,2.800000,1,1.200000,1,0.900000,3.200000,,1.500000,3.900000,6.700000,2.100000,0,4.500000,0.100000,2,0.700000,2.300000,2.700000,0.400000,1.100000,1.600000,12.900000,18.700000,,0,2.300000,22,35.700000,30.700000,0.700000,0.400000,67.500000,23.700000,,0.700000,13.500000,25.900000,0.900000,26
2019-01-02 00:00:00Z,1.400000,0.200000,0.200000,0.700000,0.500000,0.600000,1.200000,2.200000,,1.100000,2.300000,3.500000,2,0,3.600000,0.200000,0.600000,0,1.800000,0.800000,0.600000,0.900000,1.700000,9.200000,6.600000,,0,0.200000,16.200000,7.800000,17,0.100000,0.200000,39.100000,13.100000,,0.500000,5.900000,12.400000,0.600000,27
2019-01-02 01:00:00Z,0.700000,0.500000,0.800000,0.800000,0.400000,0.700000,1.200000,1.800000,,0.900000,1.700000,2.800000,1.400000,0,2.600000,0.100000,0,0,1.400000,0.800000,0.300000,0.300000,0.900000,3.300000,3.900000,,0,0.200000,9.200000,7.700000,12.900000,0,0.200000,19.200000,20.100000,,0.300000,1.700000,7.500000,0.800000,28
2019-01-02 02:00:00Z,0.400000,0.400000,3.300000,0.500000,0.200000,0.600000,0.800000,1.800000,,0.800000,1.900000,2.800000,1.400000,0,2,0.100000,0,0,1.400000,0.200000,0.200000,0.300000,0.200000,2.700000,4,,0,0.400000,5.600000,11.600000,7.400000,0,0.500000,20.300000,19,,0.400000,1.200000,6.600000,0.500000,29
2019-01-02 03:00:00Z,0.400000,0.500000,7.500000,0.500000,0.200000,0.600000,0.900000,1.800000,,1,2.600000,2.500000,1.400000,0,2.600000,0.100000,0,0.100000,1.500000,0,0.200000,0.500000,0.200000,4.100000,5,,0,0,5.100000,19.900000,16.600000,0,0.500000,21.500000,16,,0.500000,0.500000,6,0.600000,30
2019-01-02 04:00:00Z,0.600000,0.800000,7.900000,0.700000,0.200000,0.800000,0.700000,1.900000,,0.900000,2.400000,2.700000,1.700000,0,2.300000,0.100000,0,0.100000,1.700000,0.200000,0.200000,0.600000,0.300000,3.600000,5.300000,,0,0.900000,4.300000,44.900000,16.300000,0.100000,0.700000,38.300000,25.200000,,0.600000,0.300000,8.500000,1.100000,31
2019-01-02 05:00:00Z,1.500000,0.800000,7.900000,0.600000,0.400000,1,1.300000,4.500000,,1,2.800000,2.900000,1.500000,0,5.100000,0.100000,0,0,2,0.300000,0.200000,0.400000,1,7.500000,27.400000,,0,1.800000,10,90.800000,54.800000,0,0.700000,99.800000,58.100000,,0.300000,0.700000,38,0.900000,32
2019-01-02 06:00:00Z,3.900000,1.300000,8.300000,0.700000,1,2.900000,1.200000,5.700000,,1.400000,3.500000,3.700000,2,0,9.500000,0.100000,0,0,3.300000,4.300000,0.500000,0.800000,2.900000,12,93,,0,4,30.200000,76.700000,62.200000,0.300000,1.200000,166,88.700000,,1,9.400000,74.300000,0.800000,33
2019-01-02 07:00:00Z,15.100000,1.300000,16.700000,1.300000,3.100000,2.900000,2.700000,11.500000,,3,4.800000,5.800000,3.800000,0,15.400000,0.100000,0,0.200000,9.800000,10.500000,2,1.200000,6,29.600000,181.400000,,0.300000,14.900000,68.200000,73,41.200000,1.200000,2.800000,160.800000,102.100000,,1,18.700000,128.900000,1,34
2019-01-02 08:00:00Z,14.400000,2.400000,27,3.400000,6,7.100000,4.800000,11.100000,,1.600000,6.500000,11.600000,5.200000,0.200000,16.600000,0.200000,0,0.300000,10.700000,11.100000,2.600000,1.700000,5.500000,14,67.100000,,1.600000,17,82.400000,170.700000,33.100000,2.400000,3.200000,169.900000,103.800000,,2.100000,29.700000,125.300000,0.400000,35
2019-01-02 09:00:00Z,16.400000,4.600000,29.700000,2.600000,13.500000,2.700000,6.300000,10.500000,5.800000,3.100000,8.300000,18.400000,6.100000,1.200000,17.700000,0.700000,0,1.100000,10.700000,17.300000,2.800000,3.700000,8.100000,16.900000,49.200000,,7.500000,18.800000,115.400000,162,78.200000,7.400000,3,192,95.600000,,2,29,154.900000,0.900000,36
2019-01-02 10:00:00Z,14.200000,3.600000,35.800000,3.100000,9.400000,3.300000,6.800000,14.200000,3.700000,5.900000,6.300000,17,5.200000,2,14.500000,0.700000,0.600000,1.200000,6.300000,15.100000,2.200000,3.400000,11.900000,17.500000,45,,3.600000,20.900000,79.700000,199.100000,37.800000,4.200000,4.100000,191,73.700000,,2,24.800000,103.200000,1.800000,37
2019-01-02 11:00:00Z,13.800000,3.200000,30,3.300000,5.300000,3.500000,4.900000,11.200000,3.700000,5.300000,5.600000,9.900000,6.200000,2.200000,13.200000,1.100000,0.500000,2.200000,7.200000,9.800000,,3.500000,8.700000,15.900000,79.600000,,2.800000,18.500000,,145.600000,96.100000,1.900000,2.400000,174.300000,77.300000,,2.300000,40.800000,96.500000,1.700000,38
2019-01-02 12:00:00Z,8.600000,4.200000,24,3.900000,3.600000,2.900000,3.300000,8.100000,2.700000,4.600000,5.100000,9.600000,4.700000,2.200000,10.500000,1.100000,0.100000,1.900000,5.600000,8,2,3.400000,7.900000,15.600000,67.300000,,3.100000,19.600000,95.800000,122,71.700000,1.200000,1.900000,153.900000,74.200000,,1.700000,21.600000,78.400000,2.300000,39
2019-01-02 13:00:00Z,8.500000,3.100000,40.600000,2.800000,3.200000,2.400000,2.700000,10.800000,2.100000,3.600000,4.400000,9,5.400000,1.500000,10.300000,0.700000,0,1.700000,4.500000,9.200000,1.800000,2.600000,4.800000,16.300000,74.700000,,1.500000,16.700000,91.800000,101,43.800000,0.800000,1.900000,163.500000,78.800000,,1.500000,20.500000,79.400000,1.700000,40
2019-01-02 14:00:00Z,,3.600000,19.900000,2.500000,3.400000,1.600000,2.900000,11.200000,2.200000,5.100000,4.100000,9.900000,4.600000,1.200000,14.200000,0.500000,0,1.200000,4,10.700000,1.300000,1.800000,5.900000,16.200000,62.600000,,1.300000,19.300000,82.100000,115.900000,71.600000,0.600000,1.500000,137.100000,83,,1.200000,28,83.500000,1.500000,41
2019-01-02 15:00:00Z,,3.100000,28.700000,2.300000,2.600000,1.600000,3.800000,11,1.600000,4.300000,4,9.400000,3.700000,0.300000,11.300000,0.300000,0,2.500000,3.800000,11.100000,1.100000,1.700000,5,19.900000,69.100000,,1.100000,15,95.500000,97.900000,49.600000,1.400000,1.500000,149.500000,53.300000,,1,25.900000,102.800000,1,42
2019-01-02 16:00:00Z,10.800000,1.300000,20.800000,1.900000,2.500000,2.600000,2.900000,20.500000,1.800000,2.600000,4.800000,11.600000,4.200000,0,11.200000,0.300000,0,2.900000,3.900000,9.300000,1.400000,2.800000,4.600000,26.200000,49.800000,,0.900000,15.800000,106,124.100000,25.400000,3.100000,1.700000,147.800000,51.600000,,1,33,90.300000,1.200000,43
2019-01-02 17:00:00Z,10.600000,1.800000,29.800000,2.500000,2.700000,1.900000,3.700000,21,6.200000,2.400000,4.800000,10.300000,4.400000,0,13.300000,0.100000,0,1.600000,5.400000,11.800000,2.500000,1.800000,4.500000,35.400000,37.300000,,0.400000,25.100000,105.700000,204.900000,30.800000,0.900000,1.700000,121.100000,78.600000,,0.700000,34.900000,109.700000,0.600000,44
2019-01-02 18:00:00Z,8.900000,1.400000,20.800000,2.300000,4.300000,1.600000,3.200000,22.300000,4.300000,5.900000,5.200000,12.200000,3.200000,0,15.700000,0.800000,0,2.100000,4.700000,9.300000,2.700000,1.700000,4.700000,27.600000,46.400000,,0.500000,16.400000,110.800000,265.300000,59.200000,1.600000,1.800000,107,80.600000,,0.800000,29.800000,115.800000,1.100000,45
2019-01-02 19:00:00Z,5.300000,1.200000,29.100000,1.900000,2.600000,1.900000,3,14.100000,3,1.400000,5.800000,10.900000,4.600000,0,11,0.700000,0.700000,1.600000,6.200000,11.800000,2.400000,1.400000,5.200000,20.300000,66.800000,,0.900000,10,91,135.300000,25.500000,1.200000,2,119,54.300000,,1.500000,17.500000,83.100000,0.900000,46
2019-01-02 20:00:00Z,4.900000,1.200000,18,1.100000,3.500000,1.300000,2.900000,10.300000,3,1.600000,5.400000,10.700000,2.800000,0,9.800000,0.600000,0,1.400000,5.200000,6.900000,6.800000,1.500000,2.300000,12.300000,59,,0.200000,11,49.800000,93.900000,23,1,1.300000,118.600000,53.100000,,1.400000,11.100000,66.600000,1.400000,47
2019-01-02 21:00:00Z,5.700000,1.100000,18.300000,1.200000,1.900000,1.200000,3.200000,6.700000,1.600000,1.300000,4.300000,10.400000,2.700000,0,7.500000,0.700000,0.900000,1.200000,11.900000,3.500000,0.700000,2.600000,2.800000,8.200000,25.900000,,0,7.200000,34.300000,82.500000,50.100000,0.800000,1.200000,89.600000,66.600000,,0.600000,12.200000,38.700000,0.700000,48
2019-01-02 22:00:00Z,2.900000,1.900000,17.300000,1.100000,1.200000,1.100000,3.300000,2.900000,2,1.100000,3.900000,6.200000,2.600000,0,6.900000,0.200000,0,1.100000,8,3.400000,0.400000,3.100000,2.500000,7.500000,21.500000,,0,3.400000,34.900000,89.800000,27,0.600000,1.100000,98,49.600000,,0.900000,18.200000,38.100000,0.600000,49
2019-01-02 23:00:00Z,1.900000,2.500000,7.100000,0.900000,1.100000,0.900000,3.300000,2.900000,1.200000,1.500000,3.700000,5.300000,2.100000,0,5,0.200000,0,0.500000,2.800000,1.400000,0.200000,1.300000,2.600000,6.900000,13.200000,,0,2.200000,41.400000,74.200000,29.400000,0.200000,0.700000,85.100000,39,,0.600000,14.500000,26.500000,0.800000,50
2019-01-03 00:00:00Z,1.500000,2.800000,7.900000,1,1.600000,0.900000,1.600000,2.600000,1,7,3.700000,3.400000,1.700000,0,5,0.300000,0,0.300000,3.700000,1.200000,0.100000,2.100000,2.100000,7.300000,25.500000,,0,2.500000,25.300000,61.800000,24.300000,0.400000,0.900000,92.400000,30.500000,,0.500000,9.700000,15.800000,0.700000,51
2019-01-03 01:00:00Z,1.100000,1.500000,7.300000,0.700000,0.800000,0.800000,1.800000,2.300000,0.700000,1.200000,3.700000,2.500000,1.700000,0,3.100000,0.100000,0.700000,0.300000,2,0.500000,0.100000,1.100000,1.200000,3.300000,11.800000,,0,1.500000,13.400000,84.800000,15.100000,0.300000,0.800000,57.100000,23.100000,,0.800000,2.700000,13,0.700000,52
2019-01-03 02:00:00Z,1.100000,0.800000,4.300000,1,0.800000,0.800000,1.100000,2.400000,1.700000,1.300000,3.700000,2.100000,1.300000,0,2.400000,0.100000,0,0,1.700000,0.100000,0.100000,0.700000,0.600000,3.600000,15.100000,,0,1.400000,11.700000,97,16,0,0.600000,27.200000,17.300000,,0.300000,1.800000,7.200000,1.100000,53
2019-01-03 03:00:00Z,0.900000,0.700000,0.200000,1,0.600000,0.900000,1.500000,2.100000,0.400000,1.300000,2.500000,2.100000,1.500000,0,2.100000,0.200000,0,0,1.800000,1.300000,0.100000,0.600000,0.500000,3.200000,7,,0,0,7.300000,62.100000,14,0,0.700000,46.900000,19.200000,,0.600000,4.800000,6.100000,0.400000,54
2019-01-03 04:00:00Z,0.800000,1.200000,0.400000,1,1.300000,1.100000,1.100000,8.100000,0.500000,1.100000,2.400000,2.100000,1.400000,0,2.400000,0,0,0,2.500000,1.500000,0.100000,0.900000,1.500000,5.400000,17.400000,,0,1.400000,10.900000,127.600000,16.700000,0,0.700000,75.600000,42.700000,,0.400000,5.200000,6.900000,0.900000,55
2019-01-03 05:00:00Z,1.600000,1.600000,1.400000,0.700000,1.400000,3.400000,1.700000,4.400000,1.400000,1.300000,2.800000,2.500000,1.700000,0,5.300000,0.200000,0,0.300000,3.400000,0.900000,1.300000,2,3.700000,10.200000,82.700000,,0,1.200000,15,303.800000,44.200000,0.100000,1,135.200000,84.200000,,0.700000,4,37.100000,0.500000,56
2019-01-03 06:00:00Z,4.400000,4.200000,1.800000,1.500000,3,8.800000,1.800000,12.400000,1.300000,1.800000,7.300000,3.100000,2.700000,0.200000,8.700000,1.300000,0,0.800000,3.700000,9.500000,2,5.700000,4.700000,19.900000,117.800000,,1.500000,17.800000,51.100000,364.600000,77.800000,0.600000,1.400000,177.700000,140.500000,,1.200000,22.200000,82.300000,0.600000,57
2019-01-03 07:00:00Z,23.500000,17.300000,11.800000,1.900000,6.800000,10.800000,2.700000,13.600000,1.600000,5.200000,10.100000,6.300000,3.300000,0.600000,14.600000,2,0,0.900000,25.200000,25.800000,16.900000,13.600000,7.400000,21,217.100000,,7.500000,23.500000,96.900000,362.700000,135.100000,1,3.600000,291.800000,157.900000,,2.200000,53.500000,159.500000,1.100000,58
2019-01-03 08:00:00Z,18.500000,30.300000,20.600000,5.600000,11.400000,15.900000,8.500000,23.500000,4.300000,16.800000,15.700000,24.200000,6.400000,2.700000,18.500000,3,0,2.900000,27.100000,45.200000,28.500000,15.400000,16.500000,32.600000,148.800000,,29.300000,28.500000,107,289.400000,157.700000,6.700000,4.600000,326.900000,177.200000,,4.700000,81.300000,206.700000,1.600000,59
2019-01-03 09:00:00Z,26.100000,43.500000,5.700000,9.700000,10.900000,5,7.700000,15.200000,6.500000,24.100000,12.500000,24.800000,8.200000,3.100000,16,2,0,6.300000,24,35.600000,16.700000,15.700000,24.900000,60.800000,156.800000,,23.600000,26.500000,103,295.900000,163.200000,10.200000,5.400000,215.600000,171.800000,,16.300000,71.300000,154.600000,3.500000,60
2019-01-03 10:00:00Z,13,29.100000,12.100000,15.300000,7.100000,5.200000,8.200000,26.400000,8.100000,18.300000,,22.600000,10.600000,4.800000,16.100000,3.200000,0.500000,4.800000,15.100000,34.800000,11.700000,15.500000,20.800000,31.800000,118.900000,,8.800000,39.900000,112.200000,270.400000,171.200000,4.900000,4.200000,248.500000,139.500000,,10.100000,83.200000,145.900000,4.700000,61
2019-01-03 11:00:00Z,13.200000,12.400000,8.500000,12.900000,7.600000,4.400000,6.500000,14.400000,5.800000,16.500000,,21,11.700000,4.500000,19.200000,2,2.900000,4.700000,8.200000,28,10.300000,13.500000,15.500000,37.200000,121.100000,,6.400000,23.800000,107.200000,132.700000,188.800000,6.200000,3.900000,221,125,,7.100000,49.600000,182.900000,4.900000,62
2019-01-03 12:00:00Z,9.200000,6.500000,16,5.300000,5.300000,4.200000,4.700000,9,3,7.100000,6.400000,11.700000,10.700000,6.300000,13.300000,1.900000,2.800000,5.300000,5.200000,41.300000,10.200000,10.200000,14.100000,34.800000,99.200000,,6,20.200000,83.500000,127,125,1.700000,3.800000,204.800000,113,,7.100000,41.800000,89,5,63
2019-01-03 13:00:00Z,8,4,8.800000,3.900000,5,3.200000,3.600000,12.300000,2.200000,4.200000,4.300000,10,8.200000,4.900000,10.100000,1.100000,1.100000,4.300000,3.700000,18.600000,4,6.800000,13.100000,31.400000,74.900000,,6.300000,21.200000,79.100000,120.600000,110.400000,1.900000,3.800000,197.100000,114.200000,,6.700000,40.500000,,5.100000,64
2019-01-03 14:00:00Z,9,3.600000,11.500000,3.500000,4.300000,3,3.200000,18.600000,2,4.100000,3.100000,10.700000,5,2,11.600000,0.700000,0.400000,3.700000,3.400000,15.900000,3.200000,5.900000,7.400000,26.200000,96.100000,,5.100000,18.900000,82.200000,126.400000,103.100000,2.600000,2.300000,163.200000,106.200000,,4.300000,35.200000,,4.100000,65
2019-01-03 15:00:00Z,10,4.200000,9.500000,2.700000,4.700000,3.200000,3.400000,12,1.700000,5.200000,3.600000,15.800000,5.100000,1.200000,16.300000,0.400000,0.300000,2.700000,4.100000,12.600000,2,3.600000,6.900000,22.300000,96.200000,,3.900000,20,87.100000,94.700000,95,1,3.700000,178.300000,97.400000,,2.100000,54,84.800000,3.100000,66
2019-01-03 16:00:00Z,11,4.400000,6.300000,1.900000,4.100000,2.200000,3.800000,23.900000,1.900000,4.300000,3.800000,11.200000,3,0.800000,11,0.400000,0,3.300000,3.400000,11.400000,1.400000,4.400000,6.100000,18.600000,91.900000,,1.600000,18.300000,118.900000,94,99.100000,0.800000,1.600000,161.800000,92,,1.400000,59.600000,123.800000,1.300000,67
2019-01-03 17:00:00Z,11,5.500000,8,2,5.100000,3.100000,4,21.400000,1.500000,3.700000,4.400000,13.800000,3.500000,0,14.800000,0.600000,0,3.600000,3,12.600000,1.200000,2.600000,8.100000,17.700000,107.600000,,0.500000,25.600000,123.800000,108.900000,124.400000,2,0.900000,141.100000,124.400000,,1.100000,57.900000,142.600000,1.100000,68
